id,nombre,precio,calificacion,stock
91,Producto_91,866.45,4,59
92,Producto_92,601.89,3,89
93,Producto_93,68.34,5,72
94,Producto_94,962.9,3,94
95,Producto_95,676.67,2,73
96,Producto_96,331.34,5,21
97,Producto_97,953.77,5,13
98,Producto_98,412.18,3,94
99,Producto_99,925.84,4,61
100,Producto_100,286.91,3,85
101,Producto_101,366.02,2,21
102,Producto_102,129.64,3,83
103,Producto_103,414.26,3,6
104,Producto_104,376.25,5,71
105,Producto_105,513.83,4,14
106,Producto_106,557.73,1,85
107,Producto_107,568.36,4,76
108,Producto_108,653.79,3,26
109,Producto_109,415.81,1,37
110,Producto_110,270.83,5,58
111,Producto_111,154.44,5,78
112,Producto_112,342.78,1,86
113,Producto_113,547.46,3,29
114,Producto_114,225.3,4,60
115,Producto_115,464.2,5,27
116,Producto_116,133.9,1,4
117,Producto_117,207.75,2,81
118,Producto_118,910.36,5,44
119,Producto_119,792.29,2,37
120,Producto_120,882.63,2,53
121,Producto_121,968.72,4,0
122,Producto_122,294.02,5,80
123,Producto_123,498.2,1,4
124,Producto_124,257.59,3,3
125,Producto_125,685.43,2,81
126,Producto_126,411.76,4,65
127,Producto_127,10.68,3,94
128,Producto_128,768.58,3,49
129,Producto_129,500.48,5,54
130,Producto_130,46.36,5,65
131,Producto_131,41.53,4,32
132,Producto_132,664.13,1,27
133,Producto_133,590.01,1,48
134,Producto_134,566.18,5,59
135,Producto_135,62.01,2,43
136,Producto_136,308.07,3,71
137,Producto_137,237.5,2,29
138,Producto_138,844.15,5,0
139,Producto_139,509.59,3,98
140,Producto_140,873.98,1,55
141,Producto_141,984.37,2,34
142,Producto_142,869.98,1,67
143,Producto_143,338.83,3,94
144,Producto_144,614.43,5,65
145,Producto_145,796.22,5,61
146,Producto_146,157.61,4,11
147,Producto_147,593.36,1,71
148,Producto_148,73.3,3,83
149,Producto_149,417.54,3,96
150,Producto_150,122.13,2,5
151,Producto_151,779.8,3,1
152,Producto_152,337.7,1,91
153,Producto_153,196.78,5,7
154,Producto_154,772.11,3,8
155,Producto_155,364.47,4,57
156,Producto_156,495.56,3,59
157,Producto_157,463.9,2,8
158,Producto_158,146.43,4,72
159,Producto_159,822.45,1,12
160,Producto_160,111.59,5,58
161,Producto_161,582.32,2,51
162,Producto_162,809.21,1,50
163,Producto_163,792.09,1,74
164,Producto_164,500.52,2,83
165,Producto_165,762.94,2,29
166,Producto_166,739.04,2,13
167,Producto_167,294.1,4,54
168,Producto_168,959.47,5,72
169,Producto_169,859.79,1,69
170,Producto_170,198.37,3,30
171,Producto_171,282.56,2,45
172,Producto_172,404.95,1,96
173,Producto_173,912.46,1,64
174,Producto_174,315.01,2,75
175,Producto_175,684.52,5,85
176,Producto_176,652.45,2,21
177,Producto_177,253.3,5,88
178,Producto_178,80.09,3,26
179,Producto_179,510.39,1,79
180,Producto_180,416.37,5,48
181,Producto_181,733.61,2,96
182,Producto_182,541.53,1,97
183,Producto_183,149.84,2,37
184,Producto_184,160.32,2,1
185,Producto_185,246.76,5,87
186,Producto_186,732.28,3,3
187,Producto_187,120.06,4,82
188,Producto_188,251.53,5,3
189,Producto_189,624.17,3,90
190,Producto_190,320.35,1,18
191,Producto_191,61.62,3,95
192,Producto_192,286.0,2,84
193,Producto_193,671.96,2,99
194,Producto_194,864.61,5,5
195,Producto_195,101.8,3,47
196,Producto_196,798.32,4,28
197,Producto_197,537.0,2,21
198,Producto_198,594.08,3,50
199,Producto_199,586.24,3,43
200,Producto_200,121.08,1,63
201,Producto_201,887.7,5,31
202,Producto_202,549.12,5,62
203,Producto_203,599.39,4,95
204,Producto_204,565.31,1,44
205,Producto_205,720.25,5,45
206,Producto_206,577.02,2,44
207,Producto_207,669.41,5,60
208,Producto_208,946.89,4,99
209,Producto_209,58.9,4,27
210,Producto_210,844.54,5,22
211,Producto_211,539.71,2,21
212,Producto_212,626.85,5,55
213,Producto_213,790.18,1,42
214,Producto_214,127.67,1,51
215,Producto_215,568.95,3,42
216,Producto_216,332.54,4,59
217,Producto_217,211.26,3,52
218,Producto_218,547.71,4,2
219,Producto_219,682.96,1,13
220,Producto_220,375.87,4,79
221,Producto_221,635.85,4,48
222,Producto_222,704.64,5,5
223,Producto_223,776.32,3,83
224,Producto_224,524.84,1,90
225,Producto_225,171.88,2,92
226,Producto_226,930.92,5,3
227,Producto_227,234.91,4,0
228,Producto_228,69.92,3,41
229,Producto_229,176.42,1,79
230,Producto_230,252.76,2,36
231,Producto_231,550.31,5,51
232,Producto_232,637.74,2,62
233,Producto_233,271.99,4,79
234,Producto_234,907.39,1,37
235,Producto_235,83.71,3,60
236,Producto_236,16.0,1,41
237,Producto_237,65.73,1,26
238,Producto_238,263.65,3,56
239,Producto_239,515.15,5,55
240,Producto_240,566.38,2,72
241,Producto_241,81.81,5,80
242,Producto_242,412.49,4,20
243,Producto_243,950.62,5,21
244,Producto_244,563.52,2,80
245,Producto_245,850.15,5,73
246,Producto_246,760.85,5,34
247,Producto_247,962.55,5,39
248,Producto_248,680.5,1,93
249,Producto_249,954.81,4,26
250,Producto_250,59.16,3,37
251,Producto_251,74.08,3,62
252,Producto_252,813.54,4,12
253,Producto_253,684.27,2,51
254,Producto_254,743.21,2,6
255,Producto_255,552.53,5,46
256,Producto_256,424.99,3,63
257,Producto_257,813.33,3,7
258,Producto_258,611.51,3,21
259,Producto_259,123.5,3,2
260,Producto_260,336.2,4,73
261,Producto_261,536.13,5,25
262,Producto_262,441.93,2,33
263,Producto_263,915.95,2,50
264,Producto_264,499.67,2,42
265,Producto_265,695.49,3,68
266,Producto_266,262.59,4,90
267,Producto_267,825.18,2,82
268,Producto_268,822.06,3,50
269,Producto_269,773.25,5,17
270,Producto_270,924.0,3,66
271,Producto_271,707.04,3,82
272,Producto_272,564.96,3,36
273,Producto_273,768.53,5,64
274,Producto_274,813.93,5,66
275,Producto_275,903.3,4,33
276,Producto_276,923.16,2,90
277,Producto_277,986.97,4,8
278,Producto_278,677.17,5,72
279,Producto_279,461.58,1,12
280,Producto_280,187.32,1,6
281,Producto_281,260.52,4,44
282,Producto_282,714.7,1,37
283,Producto_283,311.62,1,23
284,Producto_284,502.79,5,80
285,Producto_285,825.55,1,35
286,Producto_286,212.76,5,1
287,Producto_287,233.94,3,100
288,Producto_288,723.83,5,38
289,Producto_289,595.47,5,42
290,Producto_290,105.51,1,6
291,Producto_291,869.49,1,92
292,Producto_292,21.05,5,68
293,Producto_293,993.48,2,21
294,Producto_294,932.93,1,24
295,Producto_295,232.32,5,37
296,Producto_296,768.77,1,58
297,Producto_297,793.34,3,15
298,Producto_298,294.78,1,0
299,Producto_299,117.74,5,15
300,Producto_300,230.99,3,42
301,Producto_301,38.09,3,8
302,Producto_302,563.63,4,6
303,Producto_303,116.6,1,96
304,Producto_304,472.6,1,6
305,Producto_305,648.39,4,34
306,Producto_306,124.96,4,27
307,Producto_307,307.86,2,85
308,Producto_308,559.63,4,8
309,Producto_309,638.41,3,2
310,Producto_310,347.37,3,0
311,Producto_311,700.68,2,27
312,Producto_312,229.45,3,71
313,Producto_313,719.93,1,43
314,Producto_314,735.24,2,48
315,Producto_315,615.09,1,16
316,Producto_316,69.47,1,93
317,Producto_317,391.77,1,15
318,Producto_318,860.83,3,24
319,Producto_319,902.33,4,80
320,Producto_320,205.98,4,5
321,Producto_321,278.8,2,76
322,Producto_322,917.2,1,97
323,Producto_323,574.7,3,44
324,Producto_324,113.98,4,48
325,Producto_325,847.76,4,76
326,Producto_326,494.11,5,41
327,Producto_327,512.84,3,41
328,Producto_328,255.05,4,79
329,Producto_329,939.94,3,80
330,Producto_330,891.87,5,12
331,Producto_331,558.09,1,39
332,Producto_332,43.7,1,39
333,Producto_333,998.36,4,13
334,Producto_334,755.17,5,56
335,Producto_335,649.03,5,81
336,Producto_336,638.48,3,15
337,Producto_337,487.11,2,3
338,Producto_338,731.59,5,60
339,Producto_339,550.96,2,6
340,Producto_340,60.11,3,24
341,Producto_341,100.5,5,84
342,Producto_342,972.69,1,35
343,Producto_343,145.4,5,68
344,Producto_344,403.04,2,27
345,Producto_345,378.73,2,91
346,Producto_346,595.63,1,69
347,Producto_347,677.95,4,68
348,Producto_348,360.95,2,9
349,Producto_349,190.46,5,71
350,Producto_350,698.01,1,93
351,Producto_351,938.77,5,50
352,Producto_352,283.43,5,32
353,Producto_353,947.37,2,32
354,Producto_354,805.81,3,95
355,Producto_355,708.06,3,65
356,Producto_356,187.24,5,43
357,Producto_357,615.39,3,16
358,Producto_358,892.08,3,98
359,Producto_359,906.84,2,61
360,Producto_360,491.39,5,43
361,Producto_361,971.77,5,92
362,Producto_362,377.75,1,11
363,Producto_363,317.85,3,12
364,Producto_364,266.92,3,75
365,Producto_365,706.51,5,61
366,Producto_366,588.82,3,53
367,Producto_367,890.3,2,66
368,Producto_368,93.7,3,24
369,Producto_369,371.15,5,31
370,Producto_370,864.74,2,44
371,Producto_371,388.31,2,64
372,Producto_372,499.28,2,19
373,Producto_373,373.42,3,60
374,Producto_374,393.23,1,29
375,Producto_375,346.33,2,5
376,Producto_376,952.36,5,96
377,Producto_377,514.68,1,25
378,Producto_378,713.24,5,20
379,Producto_379,896.74,3,54
380,Producto_380,391.17,1,0
381,Producto_381,824.51,5,58
382,Producto_382,818.7,4,15
383,Producto_383,67.85,1,3
384,Producto_384,602.24,5,40
385,Producto_385,760.14,1,75
386,Producto_386,412.18,3,15
387,Producto_387,694.76,5,4
388,Producto_388,221.68,4,36
389,Producto_389,485.7,3,87
390,Producto_390,570.26,5,78
391,Producto_391,897.27,3,82
392,Producto_392,632.69,2,10
393,Producto_393,989.52,1,60
394,Producto_394,392.58,4,92
395,Producto_395,167.7,1,49
396,Producto_396,401.01,2,70
397,Producto_397,815.87,5,10
398,Producto_398,235.23,2,56
399,Producto_399,734.88,4,10
400,Producto_400,375.83,1,5
401,Producto_401,366.19,2,90
402,Producto_402,308.99,4,29
403,Producto_403,969.84,4,73
404,Producto_404,224.16,2,11
405,Producto_405,724.68,4,86
406,Producto_406,72.79,1,57
407,Producto_407,814.51,4,98
408,Producto_408,465.79,5,95
409,Producto_409,25.02,2,27
410,Producto_410,250.11,2,37
411,Producto_411,705.64,4,74
412,Producto_412,892.42,2,33
413,Producto_413,829.02,4,60
414,Producto_414,156.43,2,0
415,Producto_415,787.51,3,37
416,Producto_416,764.59,2,9
417,Producto_417,154.36,1,39
418,Producto_418,442.84,3,48
419,Producto_419,999.07,2,54
420,Producto_420,121.06,4,27
421,Producto_421,892.51,3,81
422,Producto_422,623.99,5,14
423,Producto_423,295.62,1,36
424,Producto_424,154.38,3,74
425,Producto_425,29.66,1,31
426,Producto_426,797.79,2,79
427,Producto_427,16.02,4,29
428,Producto_428,416.18,1,72
429,Producto_429,728.86,3,23
430,Producto_430,432.85,3,8
431,Producto_431,729.81,4,67
432,Producto_432,196.69,4,55
433,Producto_433,127.76,1,78
434,Producto_434,421.91,5,5
435,Producto_435,897.32,5,60
436,Producto_436,467.99,2,78
437,Producto_437,600.76,3,5
438,Producto_438,771.73,3,43
439,Producto_439,156.74,3,76
440,Producto_440,733.81,3,5
441,Producto_441,530.71,2,47
442,Producto_442,519.28,4,47
443,Producto_443,975.96,3,55
444,Producto_444,696.29,4,29
445,Producto_445,672.44,1,63
446,Producto_446,720.59,2,3
447,Producto_447,736.26,5,97
448,Producto_448,733.34,2,27
449,Producto_449,656.22,5,41
450,Producto_450,371.75,2,17
451,Producto_451,143.14,1,5
452,Producto_452,415.21,2,6
453,Producto_453,234.59,3,2
454,Producto_454,900.16,2,3
455,Producto_455,981.33,3,72
456,Producto_456,694.16,3,73
457,Producto_457,360.38,2,98
458,Producto_458,597.71,4,94
459,Producto_459,752.08,4,27
460,Producto_460,42.25,1,53
461,Producto_461,790.21,3,32
462,Producto_462,636.59,5,54
463,Producto_463,774.39,1,76
464,Producto_464,48.02,5,42
465,Producto_465,527.23,1,10
466,Producto_466,807.01,3,82
467,Producto_467,761.62,1,55
468,Producto_468,361.52,4,21
469,Producto_469,747.76,3,51
470,Producto_470,68.2,4,94
471,Producto_471,765.96,4,76
472,Producto_472,971.07,1,6
473,Producto_473,768.65,4,34
474,Producto_474,872.64,4,39
475,Producto_475,973.94,2,6
476,Producto_476,156.54,5,56
477,Producto_477,557.12,3,55
478,Producto_478,116.65,1,95
479,Producto_479,421.8,1,23
480,Producto_480,427.62,5,42
481,Producto_481,737.91,4,17
482,Producto_482,112.66,3,1
483,Producto_483,111.16,1,71
484,Producto_484,855.3,2,34
485,Producto_485,415.61,4,90
486,Producto_486,212.63,5,67
487,Producto_487,928.01,4,76
488,Producto_488,92.57,1,10
489,Producto_489,662.79,4,91
490,Producto_490,13.75,5,42
491,Producto_491,95.26,5,46
492,Producto_492,194.94,5,46
493,Producto_493,672.25,1,83
494,Producto_494,702.95,1,19
495,Producto_495,749.67,3,55
496,Producto_496,776.51,1,18
497,Producto_497,56.97,4,73
498,Producto_498,528.48,2,97
499,Producto_499,328.9,3,49
500,Producto_500,869.47,5,11
501,Producto_501,16.21,5,26
502,Producto_502,719.13,1,55
503,Producto_503,473.58,5,94
504,Producto_504,386.87,5,51
505,Producto_505,455.44,4,42
506,Producto_506,835.83,3,86
507,Producto_507,468.25,4,34
508,Producto_508,506.8,5,69
509,Producto_509,816.9,3,93
510,Producto_510,91.92,5,21
511,Producto_511,906.8,2,4
512,Producto_512,717.75,3,73
513,Producto_513,828.27,3,74
514,Producto_514,70.23,3,1
515,Producto_515,877.3,2,93
516,Producto_516,994.62,3,18
517,Producto_517,790.21,1,63
518,Producto_518,663.08,3,76
519,Producto_519,981.28,1,51
520,Producto_520,128.6,5,16
521,Producto_521,224.31,4,53
522,Producto_522,324.44,5,19
523,Producto_523,495.63,2,6
524,Producto_524,397.55,1,98
525,Producto_525,316.11,4,11
526,Producto_526,909.3,2,42
527,Producto_527,44.39,2,72
528,Producto_528,128.11,3,70
529,Producto_529,906.51,5,12
530,Producto_530,955.19,5,14
531,Producto_531,441.06,4,55
532,Producto_532,630.3,3,19
533,Producto_533,420.36,4,70
534,Producto_534,368.24,3,59
535,Producto_535,801.89,1,40
536,Producto_536,26.1,3,79
537,Producto_537,414.53,4,38
538,Producto_538,709.12,3,74
539,Producto_539,440.18,3,84
540,Producto_540,974.78,2,95
541,Producto_541,793.06,4,14
542,Producto_542,256.73,3,42
543,Producto_543,361.11,4,25
544,Producto_544,176.34,3,9
545,Producto_545,117.29,5,69
546,Producto_546,637.12,3,57
547,Producto_547,617.88,2,32
548,Producto_548,699.31,3,37
549,Producto_549,728.72,5,50
550,Producto_550,106.77,1,46
551,Producto_551,176.76,4,33
552,Producto_552,851.12,5,74
553,Producto_553,445.65,5,72
554,Producto_554,643.26,1,96
555,Producto_555,858.47,3,32
556,Producto_556,332.85,3,86
557,Producto_557,513.07,2,1
558,Producto_558,113.0,1,37
559,Producto_559,855.28,5,45
560,Producto_560,656.81,2,18
561,Producto_561,317.2,4,43
562,Producto_562,543.72,5,21
563,Producto_563,816.5,5,67
564,Producto_564,984.19,1,39
565,Producto_565,701.96,3,29
566,Producto_566,611.05,1,23
567,Producto_567,944.63,2,49
568,Producto_568,753.31,2,83
569,Producto_569,843.37,4,100
570,Producto_570,618.05,3,63
571,Producto_571,421.42,4,51
572,Producto_572,64.58,5,60
573,Producto_573,181.77,2,35
574,Producto_574,606.52,4,57
575,Producto_575,929.95,2,29
576,Producto_576,869.31,3,61
577,Producto_577,745.99,5,85
578,Producto_578,320.88,3,68
579,Producto_579,566.55,3,26
580,Producto_580,707.68,2,8
581,Producto_581,129.41,3,39
582,Producto_582,30.24,5,7
583,Producto_583,833.43,2,52
584,Producto_584,271.07,4,2
585,Producto_585,12.39,5,40
586,Producto_586,308.04,2,2
587,Producto_587,865.13,5,84
588,Producto_588,169.99,3,75
589,Producto_589,245.22,1,99
590,Producto_590,755.0,2,80
591,Producto_591,677.66,5,78
592,Producto_592,46.2,1,22
593,Producto_593,724.34,3,90
594,Producto_594,198.46,3,15
595,Producto_595,222.87,1,38
596,Producto_596,352.53,5,67
597,Producto_597,38.55,1,98
598,Producto_598,836.33,2,49
599,Producto_599,643.8,1,78
600,Producto_600,984.99,3,48
601,Producto_601,586.11,4,92
602,Producto_602,785.19,2,62
603,Producto_603,857.16,3,68
604,Producto_604,561.1,3,22
605,Producto_605,964.12,4,4
606,Producto_606,552.19,5,44
607,Producto_607,614.36,4,66
608,Producto_608,96.34,3,87
609,Producto_609,453.81,4,52
610,Producto_610,792.73,3,71
611,Producto_611,607.02,1,0
612,Producto_612,133.93,2,94
613,Producto_613,724.62,1,49
614,Producto_614,526.37,1,83
615,Producto_615,983.39,4,64
616,Producto_616,389.02,4,34
617,Producto_617,334.51,5,38
618,Producto_618,802.51,4,25
619,Producto_619,943.46,1,57
620,Producto_620,721.96,4,77
621,Producto_621,195.36,3,61
622,Producto_622,611.21,1,18
623,Producto_623,233.2,1,75
624,Producto_624,60.54,2,25
625,Producto_625,416.28,4,41
626,Producto_626,421.18,5,99
627,Producto_627,209.77,2,31
628,Producto_628,335.48,2,37
629,Producto_629,21.25,4,95
630,Producto_630,191.84,4,66
631,Producto_631,623.43,2,78
632,Producto_632,594.52,2,11
633,Producto_633,976.56,2,37
634,Producto_634,182.37,3,62
635,Producto_635,522.66,1,75
636,Producto_636,247.96,4,57
637,Producto_637,544.4,4,47
638,Producto_638,539.0,2,76
639,Producto_639,526.44,3,68
640,Producto_640,730.15,5,10
641,Producto_641,621.25,2,55
642,Producto_642,604.15,3,68
643,Producto_643,454.9,1,88
644,Producto_644,64.95,5,4
645,Producto_645,715.59,1,61
646,Producto_646,299.97,3,70
647,Producto_647,177.19,3,86
648,Producto_648,554.69,1,51
649,Producto_649,129.04,2,27
650,Producto_650,669.89,1,62
651,Producto_651,700.94,4,38
652,Producto_652,659.22,4,18
653,Producto_653,780.19,2,66
654,Producto_654,939.68,1,20
655,Producto_655,709.24,2,91
656,Producto_656,648.73,1,91
657,Producto_657,675.37,4,23
658,Producto_658,622.08,4,44
659,Producto_659,11.99,1,49
660,Producto_660,890.7,2,82
661,Producto_661,734.07,4,94
662,Producto_662,848.82,5,3
663,Producto_663,77.34,5,76
664,Producto_664,205.29,4,82
665,Producto_665,995.0,1,21
666,Producto_666,769.53,5,2
667,Producto_667,410.03,5,31
668,Producto_668,243.99,4,16
669,Producto_669,363.67,2,99
670,Producto_670,332.64,3,1
671,Producto_671,581.94,3,4
672,Producto_672,899.76,2,69
673,Producto_673,370.98,5,14
674,Producto_674,235.39,1,63
675,Producto_675,768.47,1,98
676,Producto_676,66.72,2,40
677,Producto_677,338.73,4,34
678,Producto_678,623.77,4,37
679,Producto_679,968.89,3,28
680,Producto_680,402.45,1,7
681,Producto_681,29.65,2,67
682,Producto_682,701.31,4,88
683,Producto_683,815.29,2,24
684,Producto_684,88.26,4,77
685,Producto_685,217.16,5,45
686,Producto_686,40.42,3,26
687,Producto_687,332.5,3,100
688,Producto_688,164.55,1,86
689,Producto_689,667.94,3,27
690,Producto_690,160.61,4,20
691,Producto_691,543.14,2,83
692,Producto_692,132.93,2,67
693,Producto_693,778.52,4,3
694,Producto_694,767.76,5,53
695,Producto_695,910.16,1,30
696,Producto_696,12.5,5,56
697,Producto_697,540.3,4,95
698,Producto_698,95.3,5,34
699,Producto_699,165.43,3,9
700,Producto_700,967.12,4,38
701,Producto_701,846.56,5,64
702,Producto_702,646.58,1,41
703,Producto_703,314.02,5,26
704,Producto_704,388.04,5,9
705,Producto_705,230.53,1,89
706,Producto_706,336.94,1,92
707,Producto_707,412.72,3,43
708,Producto_708,729.4,5,30
709,Producto_709,724.01,4,53
710,Producto_710,627.49,4,21
711,Producto_711,43.81,5,40
712,Producto_712,792.67,3,4
713,Producto_713,634.58,3,77
714,Producto_714,319.31,4,79
715,Producto_715,623.72,3,56
716,Producto_716,964.22,2,97
717,Producto_717,546.48,2,36
718,Producto_718,697.86,5,18
719,Producto_719,109.73,3,24
720,Producto_720,327.29,1,18
721,Producto_721,588.63,3,0
722,Producto_722,513.09,3,36
723,Producto_723,962.92,1,3
724,Producto_724,741.91,4,70
725,Producto_725,874.27,1,89
726,Producto_726,859.35,3,89
727,Producto_727,485.83,2,52
728,Producto_728,307.91,1,12
729,Producto_729,52.76,4,55
730,Producto_730,487.38,5,49
731,Producto_731,465.62,4,17
732,Producto_732,819.85,2,25
733,Producto_733,599.57,3,85
734,Producto_734,161.07,3,74
735,Producto_735,844.96,1,62
736,Producto_736,818.17,2,16
737,Producto_737,556.72,2,7
738,Producto_738,554.27,1,17
739,Producto_739,99.96,2,94
740,Producto_740,42.15,3,92
741,Producto_741,781.55,1,69
742,Producto_742,343.89,4,43
743,Producto_743,250.79,1,9
744,Producto_744,180.66,1,96
745,Producto_745,229.2,3,29
746,Producto_746,737.63,5,23
747,Producto_747,547.67,3,79
748,Producto_748,909.87,3,20
749,Producto_749,467.29,4,58
750,Producto_750,845.63,5,24
751,Producto_751,283.74,5,68
752,Producto_752,608.73,2,47
753,Producto_753,179.77,1,91
754,Producto_754,802.52,1,81
755,Producto_755,208.6,3,39
756,Producto_756,970.46,1,63
757,Producto_757,157.15,1,18
758,Producto_758,957.5,5,9
759,Producto_759,214.96,3,54
760,Producto_760,279.53,2,52
761,Producto_761,947.64,5,95
762,Producto_762,699.04,1,91
763,Producto_763,991.61,3,11
764,Producto_764,349.98,4,60
765,Producto_765,874.1,3,84
766,Producto_766,601.01,3,24
767,Producto_767,371.7,3,67
768,Producto_768,296.73,1,8
769,Producto_769,589.47,1,29
770,Producto_770,340.52,3,11
771,Producto_771,335.21,2,95
772,Producto_772,271.43,2,81
773,Producto_773,134.05,1,67
774,Producto_774,297.78,3,51
775,Producto_775,733.55,1,23
776,Producto_776,910.58,4,24
777,Producto_777,708.16,2,67
778,Producto_778,959.72,5,94
779,Producto_779,829.16,5,44
780,Producto_780,823.78,4,67
781,Producto_781,419.39,2,42
782,Producto_782,833.95,5,51
783,Producto_783,317.48,1,17
784,Producto_784,737.36,4,55
785,Producto_785,766.94,2,46
786,Producto_786,446.5,2,48
787,Producto_787,619.88,4,88
788,Producto_788,351.04,2,32
789,Producto_789,883.8,4,76
790,Producto_790,429.32,1,44
791,Producto_791,309.99,2,55
792,Producto_792,580.29,2,53
793,Producto_793,611.56,4,71
794,Producto_794,398.16,4,74
795,Producto_795,384.33,4,48
796,Producto_796,731.09,4,37
797,Producto_797,333.11,2,41
798,Producto_798,275.75,2,31
799,Producto_799,877.83,4,60
800,Producto_800,288.34,3,10
801,Producto_801,719.39,3,6
802,Producto_802,963.8,2,57
803,Producto_803,757.06,4,32
804,Producto_804,425.47,5,77
805,Producto_805,943.28,4,44
806,Producto_806,279.61,4,34
807,Producto_807,148.76,3,60
808,Producto_808,957.06,3,24
809,Producto_809,901.17,5,98
810,Producto_810,929.04,5,83
811,Producto_811,677.72,3,99
812,Producto_812,86.29,5,2
813,Producto_813,284.3,4,92
814,Producto_814,371.08,3,97
815,Producto_815,990.99,2,34
816,Producto_816,602.71,5,74
817,Producto_817,708.45,1,85
818,Producto_818,241.38,1,18
819,Producto_819,381.2,2,42
820,Producto_820,141.71,2,7
821,Producto_821,948.43,1,50
822,Producto_822,376.85,3,91
823,Producto_823,676.07,4,23
824,Producto_824,462.55,1,41
825,Producto_825,112.48,1,69
826,Producto_826,955.65,5,49
827,Producto_827,717.23,2,98
828,Producto_828,165.16,5,95
829,Producto_829,527.87,2,9
830,Producto_830,760.82,5,77
831,Producto_831,717.27,5,56
832,Producto_832,243.11,2,23
833,Producto_833,508.34,4,24
834,Producto_834,309.64,4,80
835,Producto_835,439.91,5,47
836,Producto_836,691.02,3,41
837,Producto_837,30.48,5,82
838,Producto_838,141.39,1,1
839,Producto_839,853.07,5,6
840,Producto_840,645.1,1,53
841,Producto_841,525.78,4,21
842,Producto_842,172.18,4,67
843,Producto_843,672.19,1,5
844,Producto_844,656.33,5,31
845,Producto_845,90.22,3,49
846,Producto_846,799.56,3,98
847,Producto_847,419.98,5,65
848,Producto_848,396.97,1,42
849,Producto_849,802.46,1,38
850,Producto_850,786.22,4,95
851,Producto_851,61.49,4,4
852,Producto_852,425.81,5,74
853,Producto_853,125.55,4,43
854,Producto_854,147.33,1,70
855,Producto_855,964.5,2,63
856,Producto_856,323.61,5,93
857,Producto_857,714.89,2,9
858,Producto_858,75.49,2,58
859,Producto_859,498.21,2,79
860,Producto_860,988.9,1,88
861,Producto_861,306.83,2,85
862,Producto_862,162.41,1,61
863,Producto_863,719.36,2,0
864,Producto_864,519.65,5,91
865,Producto_865,138.0,1,95
866,Producto_866,115.92,4,95
867,Producto_867,148.76,5,60
868,Producto_868,891.86,1,96
869,Producto_869,180.16,2,71
870,Producto_870,644.24,3,21
871,Producto_871,218.87,3,98
872,Producto_872,871.57,5,4
